bookId,chapter,verse,commentary
1,11,10-26,"<p><strong>Preparation for Abram (11:10-26)</strong></p><p>During the period between Noah and Abram, the earth’s population increased greatly. People migrated to various regions, and many tribal groups, even nations, were established (see 10:1-32). It appears from this that there must have been more than ten generations between Noah and Abram. In that case, the genealogy recorded here has been simplified, the ten names listed being those of ten leading men of that period. (See notes on 5:1-32.)<br/>The genealogy from Shem to Eber repeats what has been given in Chapter 10 (10-15; cf. 10:21-24). The genealogy from Eber onwards differs from that in Chapter 10. It traces the line through Eber’s elder son Peleg (since that was the line that produced Abram), whereas the genealogy in Chapter 10 traced the line through Eber’s younger son Joktan (a line that produced many of the Arab tribes) (16-26; cf. 10:25-31). The genealogy shows also that the human life span was shortening, as God had previously announced (see 6:3).</p><p>Note: It seems that the name Eber is the source of the word ‘Hebrew’. Although in theory all the descendants of Eber could be called Hebrews, in practice the name became limited to those of the line of descent that passed through Abraham, Isaac and Jacob (14:13; 39:17; 40:15; 43:32). In time it became simply another name for Israelites (Exod 2:6,11; 3:18; 1 Sam 4:6; Jer 34:9; Acts 6:1; Phil 3:5).</p>"
1,14,1-24,"<p><img src='base_url/22.jpg' alt = ""Near East in the time of Abraham""/></p><p><strong>Abram meets Melchizedek (14:1-24)</strong></p><p>Lot’s selfish choice brought him unexpected trouble. In the Dead Sea region where Lot lived, a group of city-states rebelled against their Mesopotamian overlords and brought war upon themselves. Lot was captured and his possessions plundered (14:1-12). Abram was in no danger but he was concerned for Lot. With a fighting force of over three hundred from his large household, along with others from neighbouring households, he pursued the invaders. He overpowered the enemy in a surprise night attack, rescued Lot and recovered all the plunder (13-16).</p><p>On his return, Abram was met by the king of Sodom, whose goods Abram had recovered. He was met also by Melchizedek, king of the Canaanite city-state of Salem (probably the place later called Jerusalem), who, like Abram, was a worshipper of the Most High God. More than that, Melchizedek was God’s priest. He therefore blessed Abram, reminding him that God, and no other, was the true owner of heaven and earth. God was the one who had given Abram this victory. Abram acknowledged this, firstly by making a costly offering to God’s priest, and secondly by refusing to accept any reward from the king of Sodom. God alone controlled Abram’s affairs in Canaan. Nevertheless, Abram gladly allowed his neighbours to be rewarded (17-24; cf. Heb 7:1-10).</p><p><strong><br/></strong></p>"
1,15,1-21,"<p><img src='base_url/2.jpg' alt = ""Canaan and neighbouring regions""/></p><p><strong>God’s covenant with Abram (15:1-21)</strong></p><p>Earlier God had promised Abram a people and a land (see 12:2; 13:15). Abram’s faith concerning the promised land had been tested through drought and conflict, and his faith concerning the promised people was constantly being tested through his wife’s inability to have children. According to a custom of the time, a childless couple could adopt a person and make him heir to the family property. Abram therefore decided to adopt his trusted slave Eliezer. But God persuaded him not to, reassuring him that he would have a son and, through that son, countless descendants. Abram believed God, and on the basis of his faith God accepted him as righteous (15:1-6; cf. Rom 4:1-5,13-22).</p><p>God then confirmed his promise to Abram of a people and a land in a traditional covenant-making ceremony. Normally in such ceremonies sacrificial animals were cut in halves, after which the two parties to the covenant walked between the halves, calling down the fate of the slaughtered animals upon themselves should they break the covenant. God therefore commanded Abram to prepare the animals (7-11; cf. Jer 34:18).</p><p>In this case, however, God alone (symbolized by a smoking fire-pot and a flaming torch) passed between the pieces of the slaughtered animals, because he alone took the responsibility to fulfil the covenant promises. All was by God’s grace, and was received by Abram through faith. Yet Abram felt a terrifying darkness upon him, for the covenant would be fulfilled amid opposition, bondage, judgment and oppression over a period of hundreds of years. God would be patient with the peoples of Canaan and give them ample opportunity to repent. Only when their wickedness had reached uncontrollable limits would he allow Israel to destroy them and possess their land (12-21).</p><p>The reason God established the descendants of Abram as the nation Israel was chiefly to use Israel to produce Jesus the Saviour. God’s promise of worldwide blessing through Abram was fulfilled in Jesus Christ, through whom people of all nations may receive God’s salvation. Jesus Christ was, in a special sense, the promised descendant of Abram (see 12:2-3; Luke 1:54-55,72-73; Gal 3:16). When believers become Christ’s people, they become, through him, Abram’s descendants also, and so share in the blessings promised to Abram (Rom 4:16-17; Gal 3:6-9,14,29; Eph 3:6). The permanent rest God gives them is more than a dwelling place in Canaan; it is salvation through Jesus Christ (Heb 4:6-10).</p>"
1,16,1-16,"<p><strong>16:1-25:18  ABRAM AND THE PROMISED HEIR</strong></p><p><strong>Birth of Ishmael (16:1-16)</strong></p><p>When Abram earlier suggested adopting his slave as his heir, God reassured him that his heir would be a son of his own (see 15:2-4). But after ten years in Canaan, Sarai was still childless. Weakened in faith, she suggested that Abram obtain his son through their slave-girl Hagar. This was not God’s way, but it followed an accepted custom among the people of the region. All legal rights over the child belonged to the wife, not to the slave-girl, though the wife had no right to expel the slave-girl. However, when jealousy arose between Sarai and Hagar, Sarai enforced her rights with such bitterness that Hagar fled (16:1-6).<br/>Hagar was probably heading for her home country Egypt when she was met by the angel of the Lord. Through the angel God told Hagar to return and submit to Sarai, adding that the son to be born to her would himself become the father of a great people. He would be named Ishmael and would grow into a tough, fiercely independent desert-dweller (7-12; cf. 17:20; 21:13). Hagar was so amazed to think she had seen God and lived, that she addressed God by a special name in acknowledgment of her extraordinary experience (13-16).</p><p>Note: In the early books of the Old Testament the angel of God appears almost to be the same as God himself. This is possibly because the angel is so closely identified with God as his messenger that when he speaks, God speaks. The temporary physical appearance of the angel is interpreted as the temporary physical appearance of God. (See also 21:17-18; 22:15-17; Exod 3:2-6.)</p>"
1,17,1-27,"<p><strong>The covenant sealed (17:1-27)</strong></p><p>As Abram and Sarai grew older, God told them again that he would be faithful to his promises. He revealed himself to them in a new name of power (God Almighty) and gave them each new names (Abraham and Sarah) to emphasize that he would make them parents of a multitude (17:1-6,15-16). The Almighty had made a covenant to be God to Abraham and his descendants, and he would give them Canaan to be their homeland (7-8).</p><p>To reassure Abraham that he would keep his covenant promises, God told him to make a permanent distinguishing mark in his body. This mark, circumcision, was a symbol of God’s faithfulness to his covenant and a sign that Abraham believed God’s promises and obeyed his commands. Circumcision sealed Abraham’s faith and at the same time demonstrated his obedience (Rom 4:9-12; cf. Acts 7:8). Others in Abraham’s household, and all his male descendants throughout the generations to come, were likewise to be circumcised if they wished to be God’s people under the covenant. The covenant originated with God, but people had to respond to God’s grace with faithful obedience if they were to participate in the blessings of the covenant (9-14).</p><p>When God promised Abraham that Sarah would have a son, Abraham felt, in view of his and Sarah’s old age, that this was almost too much to expect. It seemed to him more reasonable to expect God to make Ishmael (now an impressive thirteen-year-old youth; see 16:16; 17:1) heir to the covenant promises. God told Abraham that Ishmael would certainly have a notable line of descendants, but God’s covenant people would be established through the son yet to be born, Isaac (15-22). Abraham believed God’s covenant promises, and gave expression to his faith by carrying out God’s covenant commands (23-27).</p><p><strong><br/></strong></p>"
1,18,1-33,"<p><strong><br/>Messengers from God (18:1-33)</strong></p><p>A short time later three men visited Abraham (who was still living at Hebron; see 13:18; 14:13; 18:1.) Abraham welcomed them, not realizing at first that they were God’s special representatives. This was another appearance of the angel of the Lord (18:1-8; see also v. 22; 19:1; Heb 13:2). Apparently Abraham had not been able to convince Sarah that she would have a child, so God sent his messenger to her direct. She had to share Abraham’s faith (9-15).</p><p>Because Abraham had an important part in God’s plan, not only for the nation Israel but for the whole world, God decided to tell Abraham what he intended to do to the wicked city of Sodom (16-21). Therefore, while two of the messengers went on to Sodom, the third stayed behind with Abraham. Abraham’s plea to God not to destroy Sodom showed a good understanding of the righteousness and mercy of God, but it showed also that Abraham did not realize how bad Sodom was (22-33).</p><p><strong><br/></strong></p>"
1,25,19-34,"<p><strong><br/>25:19-28:9  ISAAC PASSES ON THE INHERITANCE</strong></p><p><strong>Isaac’s two sons (25:19-34)</strong></p><p>After being childless for twenty years, Isaac and Rebekah had twin sons. The characters of the two sons proved to be opposites, and this was later reflected in the two nations that were descended from them. God appointed that the elder, Esau, should serve the younger, Jacob (19-26). But that did not excuse the worthlessness of Esau in selling his right as the eldest son (cf. Heb 12:16-17). Nor did it excuse the ruthlessness of Jacob in gaining the birthright (27-34).</p><p>The right of the firstborn was to become family head and receive a double share of the inheritance. In the wider view of the covenant promises given to Abraham, the inheritance involved headship of the nation Israel and possession of the land of Canaan.</p><p><strong><br/></strong></p>"
13,9,35-44,"<p><strong><br/>9:35-22:1  THE REIGN OF DAVID</strong></p><p><strong>End of the line of Saul (9:35-10:14)</strong></p><p>Saul is introduced by listing his genealogy once again (35-44). However, the Chronicler passes over the reign of Saul in silence, for his concern is with the dynasty of David. Saul’s death alone is recounted, since that was the means of bringing in the reign of David. It was also God’s judgment on Saul for his unfaithfulness and disobedience (10:1-14; see notes on 1 Sam 31:1-13).</p><p><strong><br/></strong></p>"
1,19,1-38,"<p><strong><br/>Sodom and Gomorrah (19:1-38)</strong></p><p>Meanwhile the two messengers arrived in Sodom. Lot, knowing the danger that strangers faced in the streets of Sodom at night, welcomed them into his house (19:1-3). Although Lot did not agree with the immoral practices of Sodom (2 Peter 2:7-8), he apparently did not have the courage to oppose them. He was even prepared to allow the sexual perverts of the city to rape his daughters, in order to protect his two guests from homosexual assault. In a blinding judgment, God showed his hatred of sexual violence and perversion (4-11; cf. Lev 18:22; 20:13; Rom 1:26-27; 1 Cor 6:9-10; 1 Tim 1:10).</p><p>God’s messengers then told Lot and his family to escape, because Sodom was about to be destroyed (12-14). Yet Lot had become so much at home in Sodom that God’s messengers had almost to drag him from the city. Even then he asked a special favour from God that would allow him to carry on his former way of life in another city (15-22).<br/>The region around the Dead Sea where Sodom and Gomorrah were situated contained tar pits, sulphur and natural gases (cf. 14:10). A combination of an earthquake and lightning could have caused an explosion similar to that of a volcano, resulting in burning sulphur raining down over the cities (and over Lot’s wife). At the same time it was a direct judgment by God, happening at the time and in the place God had announced (23-29).<br/>So horrifying was the destruction, that Lot decided he could no longer live in safety inside the city. So he took his family out to the hills and lived in a cave. But his two daughters, still affected by the evil influences of Sodom, forced their father into immoral sexual relations with them. The two children that were born through this immorality produced respectively the Ammonites and the Moabites, peoples who later became a source of trouble to Israel (30-38).</p><p><strong><br/></strong></p>"
1,20,1-18,"<p><strong><br/>Abraham deceives Abimelech (20:1-18)</strong></p><p>From Hebron Abraham moved into the territory of the Philistine king Abimelech. As a result of Abraham’s deceit concerning Sarah, Abimelech took Sarah as a wife and brought God’s threat of death upon him (20:1-7). Upon discovering the truth, Abimelech acted quickly and honourably. He restored Sarah’s honour in the eyes of the people, gave gifts to Abraham, and invited Abraham to settle in his land (8-16). Humbled by these events, Abraham turned again in faith to God and asked his blessings on Abimelech and his people (17-18).<br/>The failure of Abraham and Sarah at a time so close to the birth of Isaac showed once more that the fulfilment of God’s covenant promise of an heir depended on divine grace, not on human merit.</p>"
1,21,1-21,"<p><strong><br/>Birth of Isaac (21:1-21)</strong></p><p>When Isaac was born, Abraham circumcised him as commanded. In this way he demonstrated that Isaac was heir to God’s covenant promises (21:1-7; cf. 17:9-14).<br/>Ishmael made fun of the covenant family, as Sarah had feared. Being the son of a slave-girl, Ishmael had the right to inherit some of Abraham’s wealth, but he could surrender this right in exchange for the freedom of himself and his mother. Sarah, determined that her son should be the sole heir, tried to persuade Abraham to force freedom upon Hagar and Ishmael by expelling them. Abraham hesitated to do this, because they had full rights to remain in his household. But God supported Sarah’s suggestion. He promised to look after Hagar and Ishmael, and to make of Ishmael a great people; but his covenant was with Isaac (8-21).</p><p><strong><br/></strong></p>"
1,21,22-34,"<p><strong>Treaty with Abimelech (21:22-34)</strong></p><p>Abraham had settled in the south of Canaan in Abimelech’s territory and at Abimelech’s invitation (see 20:15). Abimelech, however, was still wary of Abraham and fearful of the God whom Abraham worshipped. He suggested that Abraham and he make a treaty that would guarantee good relations between them (22-24). Abraham agreed to this, but at the same time he forced Abimelech to agree to return to him a well that Abimelech’s herdsmen claimed as theirs. Abimelech publicly bound himself to the agreement by accepting from Abraham seven lambs as a witness (25-34). The place where the well was located became known as Beersheba, and Abraham later settled there (see 22:19).</p><p><strong><br/></strong></p>"
1,22,1-19,"<p><strong><br/>The offering of Isaac (22:1-19)</strong></p><p>Although Abraham probably knew that certain peoples of the ancient world at times sacrificed children to the gods, he was no doubt shocked when God told him to sacrifice Isaac. It tested not only his obedience but also his faith, because once Isaac was dead, God could no longer fulfil his covenant promise of giving Isaac a multitude of descendants. A conflict existed between obedience to God’s command and faith in his promise. Nevertheless, Abraham obeyed, believing that God would provide the solution to this difficulty, even if it meant raising the sacrificed son back to life (22:1-8; cf. Heb 11:17-19).</p><p>Abraham passed God’s test: his obedience proved his faith. He did, in fact, sacrifice Isaac, though he did not kill him. God provided an innocent substitute, and Isaac’s life was given back, as it were, from the dead (9-14; cf. Heb 11:19; James 2:21-24). God pointed out how these events proved that obedience was the way to blessing. He then reassured Abraham of a multitude of descendants through Isaac (15-19).</p>"
1,24,1-67,"<p><strong><br/>A wife for Isaac (24:1-67)</strong></p><p>Since Isaac would succeed Abraham as heir to the land of Canaan and ancestor of the promised nation, Abraham required two things concerning him. First, he was not to leave Canaan; second, he was not to marry one of the Canaanites, as they were under God’s judgment. Abraham therefore sent his chief servant (possibly Eliezer; see 15:2) on a long journey to Paddan-aram in north-western Mesopotamia to find a wife for Isaac among Abraham’s relatives there (24:1-9).<br/>The servant prayed for God’s special guidance (10-14) and, on finding that God had led him to the grand-daughter of Abraham’s brother, praised God for answering his prayer. The girl’s name was Rebekah (15-27). The servant then explained to Rebekah’s father Bethuel and her brother Laban why he believed she was God’s chosen wife for Isaac (28-49). When all parties agreed that Rebekah should go and marry Isaac, Abraham’s servant gave gifts to Rebekah’s family as the bride price, and Rebekah’s family gave servants to her as a wedding gift (50-61). The large party then journeyed to Canaan, where Rebekah met and married Isaac (62-67).</p><p><strong><br/></strong></p>"
