language,versionCode,revision,metadata
tamil,IRV,irv_5,"{""NT URL"": ""https://git.door43.org/BCS-BIBLE/Tamil-ULB-NT.BCS"", ""OT URL"": ""https://git.door43.org/BCS-BIBLE/TAMIL-ULB-OT.BCS"", ""Contact"": ""info@bridgeconn.com"", ""License"": ""Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)"", ""Source URL"": """", ""Description"": ""Revision of an existing public domain Bible - 1947"", ""License URL"": ""https://creativecommons.org/licenses/by-sa/4.0/"", ""Abbreviation"": ""IRV-TAM"", ""Content Type"": ""Bible"", ""Language Code"": ""TAM"", ""Language Name"": ""Tamil"", ""Public Domain"": ""No"", ""Publishing Year"": ""2019"", ""Copyright Holder"": ""Unfolding Word"", ""Technology Partner"": ""Bridge Connectivity Solutions"", ""Source (Name & Year)"": ""Tamil-ULB by Wycliffe Associates - [2017]"", ""Version Name (in GL)"": ""இந்தியன் ரீவைஸ்டு வேர்ஷன் - தமிழ்"", ""Published Platform(s)"": ""DBL, VO"", ""Version Name (in Eng)"": ""Indian Revised Version - Tamil"", ""Revision (Name & Year)"": ""unfoldingWord – 2018"",""Latest"": ""True""}"
telugu,IRV,irv_5,"{""NT URL"": ""https://git.door43.org/BCS-BIBLE/Telugu-Revised-ULB-NT.BCS"", ""OT URL"": ""https://git.door43.org/BCS-BIBLE/TELUGU-ULB-OT.BCS"", ""Contact"": ""info@bridgeconn.com"", ""License"": ""Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)"", ""Source URL"": """", ""Description"": ""Revision of an existing public domain Bible - 1903"", ""License URL"": ""https://creativecommons.org/licenses/by-sa/4.0/"", ""Abbreviation"": ""IRV-TEL"", ""Content Type"": ""Bible"", ""Language Code"": ""TEL"", ""Language Name"": ""Telugu"", ""Public Domain"": ""No"", ""Publishing Year"": ""2019"", ""Copyright Holder"": ""Unfolding Word"", ""Technology Partner"": ""Bridge Connectivity Solutions"", ""Source (Name & Year)"": ""Telugu-ULB by Wycliffe Associates - [2017]"", ""Version Name (in GL)"": ""ఇండియన్ రేవిజ్డ్ వెర్షన్ - తెలుగు"", ""Published Platform(s)"": ""DBL, VO"", ""Version Name (in Eng)"": ""Indian Revised Version - Telugu"", ""Revision (Name & Year)"": ""unfoldingWord – 2018"",""Latest"": ""True""}"
malayalam,IRV,irv_5,"{""NT URL"": ""https://git.door43.org/BCS-BIBLE/Malayalam-ULB-NT.BCS"", ""OT URL"": ""https://git.door43.org/BCS-BIBLE/MALAYALAM-ULB-OT.BCS"", ""Contact"": ""info@bridgeconn.com"", ""License"": ""Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)"", ""Source URL"": """", ""Description"": ""Revision of an existing public domain Bible - 1910"", ""License URL"": ""https://creativecommons.org/licenses/by-sa/4.0/"", ""Abbreviation"": ""IRV-MAL"", ""Content Type"": ""Bible"", ""Language Code"": ""MAL"", ""Language Name"": ""Malayalam"", ""Public Domain"": ""No"", ""Publishing Year"": ""2019"", ""Copyright Holder"": ""Unfolding Word"", ""Technology Partner"": ""Bridge Connectivity Solutions"", ""Source (Name & Year)"": ""Malayalam-ULB by Wycliffe Associates - [2017]"", ""Version Name (in GL)"": ""ഇന്ത്യന്‍ റിവൈസ്ഡ് വേര്‍ഷന്‍ - മലയാളം"", ""Published Platform(s)"": ""DBL, VO"", ""Version Name (in Eng)"": ""Indian Revised Version - Malayalam"", ""Revision (Name & Year)"": ""unfoldingWord – 2018"",""Latest"": ""True""}"
gujarati,IRV,irv_5,"{""NT URL"": ""https://git.door43.org/BCS-BIBLE/Gujarati-ULB-NT.BCS"", ""OT URL"": ""https://git.door43.org/BCS-BIBLE/GUJARATI-ULB-OT.BCS"", ""Contact"": ""info@bridgeconn.com"", ""License"": ""Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)"", ""Source URL"": """", ""Description"": ""Revision of an existing public domain Bible - 1908"", ""License URL"": ""https://creativecommons.org/licenses/by-sa/4.0/"", ""Abbreviation"": ""IRV-GUJ"", ""Content Type"": ""Bible"", ""Language Code"": ""GUJ"", ""Language Name"": ""Gujarati"", ""Public Domain"": ""No"", ""Publishing Year"": ""2019"", ""Copyright Holder"": ""Unfolding Word"", ""Technology Partner"": ""Bridge Connectivity Solutions"", ""Source (Name & Year)"": ""Gujarati-ULB by Wycliffe Associates - [2017]"", ""Version Name (in GL)"": ""ઇન્ડિયન રિવાયઝ્ડ વર્ઝન - ગુજરાતી"", ""Published Platform(s)"": ""DBL, VO"", ""Version Name (in Eng)"": ""Indian Revised Version - Gujarati"", ""Revision (Name & Year)"": ""unfoldingWord – 2018"",""Latest"": ""True""}"
haryanvi,HB,hb_1,"{""NT URL"" : ""NA"" ,""OT URL"" : ""NA"" ,""Contact"" : ""info@bridgeconn.com"" ,""License"" : ""Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)"" ,""Source URL"" : ""https://git.door43.org/unfoldingWord/en_ult"" ,""Description"" : ""Standard Translation"" ,""License URL"" : ""https://creativecommons.org/licenses/by-sa/4.0/"" ,""Abbreviation"" : ""Haryanvi Bible"" ,""Content Type"" : ""Bible"" ,""Language Code"" : ""BGC"" ,""Language Name"" : ""Haryanvi"" ,""Public Domain"" : ""No"" ,""Publishing Year"" : ""2019"" ,""Copyright Holder"" : ""The Love Fellowship"" ,""Technology Partner"" : ""Bridge Connectivity Solutions"" ,""Source (Name & Year)"" : ""IRV Hindi-2019"" ,""Version Name (in GL)"" : ""Haryanvi Bible"" ,""Published Platform(s)"" : ""DBL, VO"" ,""Version Name (in Eng)"" : ""Haryanvi Bible "" ,""Revision (Name & Year)"" : ""Haryanvi Bible - 2019"",""Latest"":""True"" }"
bilaspuri,BSV,bsv_1,"{""NT URL"" : ""NA"" ,""OT URL"" : ""NA"" ,""Contact"" : ""info@bridgeconn.com"" ,""License"" : ""Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)"" ,""Source URL"" : """" ,""Description"" : ""Standard Version"" ,""License URL"" : ""https://creativecommons.org/licenses/by-sa/4.0/"" ,""Abbreviation"" : ""BSV"" ,""Content Type"" : ""Bible"" ,""Language Code"" : ""KFS"" ,""Language Name"" : ""Bilaspuri"" ,""Public Domain"" : ""No"" ,""Publishing Year"" : ""2019"" ,""Copyright Holder"" : """" ,""Technology Partner"" : ""Bridge Connectivity Solutions"" ,""Source (Name & Year)"" : ""BSV Bilaspuri-2019"" ,""Version Name (in GL)"" : ""Bilaspuri Standard Bible"" ,""Published Platform(s)"" : ""DBL, VO"" ,""Version Name (in Eng)"" : ""Bilaspuri Standard Bible "" ,""Revision (Name & Year)"" : ""Bilaspuri Standard Version - 2019"",""Latest"":""True"" }"
nagamese,ISV,isv_1,"{""NT URL"" : ""https://git.door43.org/BCS-BIBLE/IndianStandardVersion-Nagamese-NT/src/branch/master/Stage%203"",""Contact"" : ""info@bridgeconn.com"" ,""License"" : ""Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)"" ,""Source URL"" : ""https://git.door43.org/unfoldingWord/en_ult"" ,""Description"" : ""Standard Translation"" ,""License URL"" : ""https://creativecommons.org/licenses/by-sa/4.0/"" ,""Abbreviation"" : ""ISV-NAG"" ,""Content Type"" : ""Bible"" ,""Language Code"" : ""Nag"" ,""Language Name"" : ""Nagamese"" ,""Public Domain"" : ""No"" ,""Publishing Year"" : ""2019"" ,""Copyright Holder"" : ""Unfolding Word"" ,""Technology Partner"" : ""Bridge Connectivity Solutions"" ,""Source (Name & Year)"" : ""English ULT by UnfoldingWord"" ,""Version Name (in GL)"" : ""Indian Standard Version - Nagamese"" ,""Published Platform(s)"" : ""DBL, VO"" ,""Version Name (in Eng)"" : ""Indian Standard Version - Nagamese"" ,""Revision (Name & Year)"" : ""unfoldingWord - 2019"",""Latest"": ""True""}"
dogri,DSV,dsv_1,"{""NT URL"" : ""NA"", ""OT URL"" : ""NA"" , ""Contact"" : ""info@bridgeconn.com"" , ""License"" : ""Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)"" , ""Source URL"" : "" https://git.door43.org/BCS-BIBLE/Hindi-ULB-NT.BCS "" , ""Description"" : ""Standard Translation"" , ""License URL"" : ""https://creativecommons.org/licenses/by-sa/4.0/"" , ""Abbreviation"" : ""Dogri Bible"" , ""Content Type"" : ""Bible"" , ""Language Code"" : ""DGO"" , ""Language Name"" : ""Dogri"" , ""Public Domain"" : ""No"" , ""Publishing Year"" : ""2019"" , ""Copyright Holder"" : ""The Love Fellowship"" , ""Technology Partner"" : ""Bridge Connectivity Solutions"" , ""Source (Name & Year)"" : ""IRV Hindi-2019"" , ""Version Name (in GL)"" : ""डोगरी स्टैण्डर्ड वर्शन "" , ""Published Platform(s)"" : ""DBL, VO"" , ""Version Name (in Eng)"" : ""Dogri Standard Version"" , ""Revision (Name & Year)"" : "" Dogri Standard Version-2019"" ,""Latest"":""True""} "
english,ESV,esv_1,"{""Description"":""The English Standard Version (ESV) is an essentially literal translation of the Bible in contemporary English. The ESV Bible emphasizes word-for-word accuracy, literary excellence, and depth of meaning."", ""License"": ""On March 18 2019, BCS signed a license agreement with Crossway to incorporate the full text of the ESV into an electronic medium of distribution entitled Vachan Online Applications for a period of 2 years.This license has been renewed for an additional year upto March 28, 2022."", ""Abbreviation"": ""ESV"", ""Content Type"": ""Bible"", ""Language Code"": ""ENG"", ""Language Name"": ""English"", ""Public Domain"": ""No"", ""Publishing Year"": ""2001"", ""Copyright Holder"": ""Crossway"",  ""Version Name (in Eng)"": ""English Standard Version"", ""Revision (Name & Year)"": ""2011"",""Latest"": ""True""}"
hindi,HI,1,"{""url"": ""https://raw.githubusercontent.com/Bridgeconn/vachancontentrepository/master/infographics/hin/"", ""NT URL"": """", ""OT URL"": """", ""Contact"": ""info@bridgeconn.com"", ""License"": ""On October 26, 2018, BCS secured a formal permission from VisualUnit infographics creator Mark Barry (via email) for Indian languages translation and digital publications on Vachan Online Applications."", ""Source URL"": ""https://visualunit.me/"", ""Description"": ""Visual Unit web-page contains a collection of biblical diagrams, illustrations and infographics by Mark Barry put together from 2008 till date. These graphics are free for personal use, but permission needs to be sought from the author to use any of them in ministries or to republish them in any way. "", ""License URL"": """", ""Abbreviation"": """", ""Content Type"": ""Infographics"", ""Language Code"": ""HIN"", ""Language Name"": ""Hindi "", ""Public Domain"": ""No"", ""Publishing Year"": ""2019"", ""Copyright Holder"": ""Mark Barry"", ""Technology Partner"": ""Bridge Connectivity Solutions"", ""Source (Name & Year)"": ""2008-2019"", ""Version Name (in GL)"": """", ""Published Platform(s)"": ""VO"", ""Version Name (in Eng)"": ""VisualUnit - Hindi"", ""Revision (Name & Year)"": """"}"
english,EBD,1,"{""NT URL"": """", ""OT URL"": """", ""Contact"": """", ""License"": """", ""Source URL"": """", ""Description"": ""A Dictionary of Bible Terms by M.G. Easton M.A., D.D. By Illustrated Bible Dictionary, Third Edition Published by Thomas Nelson, 1897. This public domain work was downloaded from https://archive.org/details/EastonsBibleDictionary/page/n0 Books For The Ages AGES Software • Albany, OR USA Version 2.0 © 1996, 1997"", ""License URL"": """", ""Abbreviation"": ""EBD"", ""Content Type"": ""Dictionary"", ""Language Code"": ""ENG"", ""Language Name"": ""English"", ""Public Domain"": ""Yes"", ""Publishing Year"": """", ""Copyright Holder"": """", ""Technology Partner"": """", ""Source (Name & Year)"": """", ""Version Name (in GL)"": """", ""Published Platform(s)"": """", ""Version Name (in Eng)"": ""Easton's Bible Dictionary"", ""Revision (Name & Year)"": """",""Latest"": ""True""}"
english,MHCC,1,"{""NT URL"": """", ""OT URL"": """", ""Contact"": """", ""License"": """", ""Source URL"": """", ""Description"": ""An abridgment of the 6 volume 'Matthew Henry's Commentary on the Bible', originally written in 1706. By Matthew Henry This public domain work was downloaded from http://www.ccel.org/ccel/henry/mhcc.html Christian Classics Ethereal Library, Grand Rapids, MI"", ""License URL"": """", ""Abbreviation"": ""MHCBC"", ""Content Type"": ""Commentary"", ""Language Code"": ""ENG"", ""Language Name"": ""English"", ""Public Domain"": ""Yes"", ""Publishing Year"": """", ""Copyright Holder"": """", ""Technology Partner"": """", ""Source (Name & Year)"": """", ""Version Name (in GL)"": """", ""Published Platform(s)"": ""VO"", ""Version Name (in Eng)"": ""Mathew Henry Concise Bible Commentary"", ""Revision (Name & Year)"": """"}"
hindi,Hindi IRVn,1,"{""NT URL"": """", ""OT URL"": """", ""Contact"": ""info@bridgeconn.com"", ""License"": ""Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)"", ""Source URL"": """", ""Description"": """", ""License URL"": ""https://creativecommons.org/licenses/by-sa/4.0/"", ""Abbreviation"": ""Hindi IRVn"", ""Content Type"": ""Commentary"", ""Language Code"": ""HIN"", ""Language Name"": ""Hindi "", ""Public Domain"": ""No"", ""Publishing Year"": ""2018"", ""Copyright Holder"": ""Bridge Connectivity Solutions"", ""Technology Partner"": ""Bridge Connectivity Solutions"", ""Source (Name & Year)"": ""Compiled"", ""Version Name (in GL)"": """", ""Published Platform(s)"": ""VO"", ""Version Name (in Eng)"": ""Hindi IRV Notes"", ""Revision (Name & Year)"": """",""Latest"": ""True""}"
hindi,Hindi IRVd,1,"{""NT URL"": """", ""OT URL"": """", ""Contact"": ""info@bridgeconn.com"", ""License"": ""Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)"", ""Source URL"": ""https://git.door43.org/Door43-Catalog/hi_tw"", ""Description"": """", ""License URL"": ""https://creativecommons.org/licenses/by-sa/4.0/"", ""Abbreviation"": ""Hindi IRVd"", ""Content Type"": ""Dictionary"", ""Language Code"": ""HIN"", ""Language Name"": ""Hindi "", ""Public Domain"": ""No"", ""Publishing Year"": ""2018"", ""Copyright Holder"": ""Unfolding Word"", ""Technology Partner"": ""Bridge Connectivity Solutions"", ""Source (Name & Year)"": ""Hindi translationWords"", ""Version Name (in GL)"": """", ""Published Platform(s)"": ""VO"", ""Version Name (in Eng)"": ""Hindi IRV Dictionary"", ""Revision (Name & Year)"": """",""Latest"": ""True""}"
english,BBC,1,"{""NT URL"": """", ""OT URL"": """", ""Contact"": ""contact@bridgeway.org.au"", ""License"": ""On Nov 14, 2018, BCS signed a Translation and Digital Publishing agreement with Bridgeway Publications for BBC in 3 Indian languages, namely: Gujarati, Marathi and Odia, for a period of 7 years commencing from Nov 20 2018."", ""Copyright"": ""True"", ""Source URL"": ""https://www.bridgeway.org.au/books/BibleCommentary.pdf"", ""Description"": ""Written by Don Fleming, the Bridgeway Bible Commentary deals with each biblical book in such a way that readers readily see the meaning of the Bible in its own context and its relevance in today’s world. The book is neither a word-by-word technical reference work nor a mere collection of overviews. It provides a free-flowing commentary on the entire text of each biblical book, along with background material, maps, diagrams, drawings, tables and feature articles. All rights reserved. The author grants you the right to: Download and store this material on a personal computer.Print pages from this material for one's own personal and non-commercial use. Neither Bridgeway Publications nor the author grants any other rights in relation to this material on this website. In other words, all other rights are reserved. For the avoidance of doubt, one must not adapt, edit, change, transform, publish, republish, distribute, redistribute, broadcast, rebroadcast or show or play in public this material on this website (in any form or media) without Bridgeway Publication’s prior written permission. You may request permission to otherwise use this copyright material by writing to contact@bridgeway.org.au."", ""License URL"": """", ""Abbreviation"": ""BBC"", ""Content Type"": ""Commentary"", ""Language Code"": ""ENG"", ""Language Name"": ""English"", ""Public Domain"": ""No"", ""Publishing Year"": ""2005"", ""Copyright Holder"": ""Bridgeway Publications"", ""Technology Partner"": """", ""Source (Name & Year)"": ""Bridgeway Publications"", ""Version Name (in GL)"": """", ""Published Platform(s)"": """", ""Version Name (in Eng)"": ""Bridgeway Bible Commentary"", ""Revision (Name & Year)"": """",""Latest"": ""True"",""baseUrl"": ""https://raw.githubusercontent.com/AnuMonachan/vachancontentrepository/master/commentaries/eng/bbc/img/""}"
